"fsym_id","ShortInterestDateCurrent","ShortInterestDateOneMonthAgo","ShortInterestDateTwoMonthsAgo","ShortInterestDateThreeMonthsAgo","ShortInterestDateFourMonthsAgo","ShortInterestDateFiveMonthsAgo","ShortInterestDateSixMonthsAgo","ShortInterestDateSevenMonthsAgo","ShortInterestDateEightMonthsAgo","ShortInterestDateNineMonthsAgo","ShortInterestDateTenMonthsAgo","ShortInterestDateElevenMonthsAgo","ShortInterestShsCurrent","ShortInterestShsOneMonthAgo","ShortInterestShsTwoMonthsAgo","ShortInterestShsThreeMonthsAgo","ShortInterestShsFourMonthsAgo","ShortInterestShsFiveMonthsAgo","ShortInterestShsSixMonthsAgo","ShortInterestShsSevenMonthsAgo","ShortInterestShsEightMonthsAgo","ShortInterestShsNineMonthsAgo","ShortInterestShsTenMonthsAgo","ShortInterestShsElevenMonthsAgo","ShortInterestRatioCurrent","ShortInterestRatioOneMonthAgo","ShortInterestRatioTwoMonthsAgo","ShortInterestRatioThreeMonthsAgo","ShortInterestRatioFourMonthsAgo","ShortInterestRatioFiveMonthsAgo","ShortInterestRatioSixMonthsAgo","ShortInterestRatioSevenMonthsAgo","ShortInterestRatioEightMonthsAgo","ShortInterestRatioNineMonthsAgo","ShortInterestRatioTenMonthsAgo","ShortInterestRatioElevenMonthsAgo","ShortInterestAsPercentOfFloat"
"BRZXV5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,27000,10100,0,1000,32000,15000,5100,0,0,0,0,0,.372718,.109915,0,.00414163,.435493,.0958906,.0182227," "," "," ",0,0
"X356HY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",17170467,16070701,15403486,14218323,14553239,12344487,11898652,11708572,12232216,11534812,12167542,11036154,9.94528,9.92356,9.56047,5.62784,4.56185,7.84092,10.6387,7.68834,8.14848,9.03794,4.33041,4.97322,15.755555127344
"FW7VWJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4598,4598,4598,4598,4598,4598,4598,5398,55091,100,0,300," "," "," "," ",.261994,.0736337,.0436907,.0492692,.743346,.00136926,0,.0025013,0
"MWQ213-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",25562300,28019675,31760318,32040915,32438533,35115601,34013888,34294486,35054417,34617143,35360299,35630861,9.04345,5.07462,14.485,21.1113,14.4048,14.123,22.3791,6.09493,23.3792,21.817,15.6508,7.78004,23.2215279515211
"FT8DNV-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",7180144,6841239,7358035,7732425,6781769,6893719,7737257,7569978,6261521,7087198,7362361,7830479,3.96069,4.29065,2.46656,4.4734,2.58263,2.79753,2.95853,2.29864,1.66024,2.73311,2.39433,3.45819,1.22570814042566
"G6XS46-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",905,1688,425,4063,82300,194484,0,0,0,0,0,0,.0066775,.0217223,.0039365,.0112537,.117732,.147689," "," "," "," "," "," ",0
"BY89LN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2949161,2992836,2951521,2872912,2791496,2705767,2865287,2980364,3105477,3206533,3141858,3447200,43.4077,47.1001,50.9779,45.5757,18.4784,8.10396,26.0699,19.2232,29.554,36.7418,13.1847,7.64951,9.87175882812251
"M4LR00-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2760246,2504957,2548451,2642105,2919056,2368922,1891904,2101151,2116142,1737494,1895850,2080836,1.52771,2.31051,2.23267,2.39115,2.00146,2.01476,1.58421,2.94193,2.25802,2.59283,1.53347,1.56601,2.40075393654635
"QBTCXD-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",116862,48632,41492,46584,47228,107928,307387,67600,213831,51996,60230,84297,1.16603,.563379,1.20765,1.08325,.872487,1.95247,5.26904,1.58405,6.89872,1.40579,1.43129,1.25018,0
"VNMK97-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2173753,2509910,2367945,3701780,3848546,3704405,3304882,2800493,2871638,2937223,3033698,3064722,4.17111,4.93321,1.88421,4.49167,3.93685,3.30168,2.11482,3.16728,5.78481,6.89508,4.71282,4.36724,2.40083549733127
"R5ZJZN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",18386,318577,57376,14510,3238,9928,21478,0,182800,0,0,0,.0707319,1.23311,.379725,.179368,.0456138,.0599472,.116585,0,2.7399," "," "," ",0
"PX64H0-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4000,87500,0,21280,15000,3344,144700,4386,34339,104335,269931,563428,.0315382,.738615,0,.0919278,.0357298,.00724138,.636616,.0217716,.164028,.153375,.314701,.637115,0
"D2VYB7-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",21317,26200,27400,22000,17900,19300,31696,29700,30476,134098,144240,146240,1.3666,1.32833,1.49672,2.04318,1.80068,2.9156,3.60029,2.92658,3.27853,14.0563,15.3072,10.873,0
"H1W6C4-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",66565,53078,25490,31276,22289,25155,21545,11026,25363,23955,32291,40625,2.81447,2.47519,1.38255,.89724,1.24297,1.41146,1.21346,.293136,1.20644,1.19889,1.56494,.772662,.360555367389209
"NXFSQT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",995140,871441,847294,925956,1055430,1071430,1251733,1335189,1492203,1554655,1780621,1202038,4.63928,4.19587,3.18556,2.31486,3.36323,3.38805,5.31935,6.70734,5.11819,4.42825,2.88243,3.74701,1.90473131668337
"HC6FBY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2190703,2044989,1924601,1909880,1951779,1921512,2042323,2168006,2177946,2215397,2190948,2442837,9.02791,8.74712,11.1743,16.2862,8.03168,13.0801,14.4264,11.5747,26.6389,29.5595,15.5043,9.20328,18.8761766898019
"DGJB2X-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",400,400,400,400,400,400,400,400,400,400,400,400," "," "," "," "," "," "," "," "," ",.0272727,.03125,.0434783,0
"WGQ74Q-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",15430,8298,4361,2842,1696,3925,3754,1858,1772,1835,46097,14952,1.83407,2.73591,1.03858,1.15811,.279085,.839213,.465757,.47398,.258309,.259217,5.20752,2.99639," "
"Q66RF2-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2555,1511,572,475,1403,507,96,680,267,869,0,116,1.18948,1.73678,2.24314,.295766,1.71936,.302687,.277457,1.60377,.695313,1.13595," ",.711656," "
"QG1FM5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",526628,667870,770933,885238,977847,1238706,952729,1023337,1000976,946313,1134642,1225078,3.62208,5.57879,4.13662,2.15609,5.81726,4.53323,4.81439,6.97443,4.78407,3.95652,3.16152,6.57054,1.61634522463518
"SM0Z0Y-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2923824,3157928,3227469,3137367,3337320,3766045,3787074,3744118,4177405,3983913,4039109,3938560,6.78438,5.74679,3.62853,7.69115,4.97214,6.51187,7.15009,4.42152,4.04419,6.08592,5.92371,6.02133,4.29082956516678
"HMVRM8-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1500,13500,0,0,300,3500,0,7513,4000,34500,2400,5700,.0187706,.204591," ",0,.0116951,.192418,0,.161279,.159524,1.56537,.0755042,.191665,0
"G9ZKT1-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2913899,2435195,3448157,3809087,4694407,4158478,6475144,4079648,4560107,7550994,2877036,2842579,1.32765,1.18554,1.63083,1.73843,2.67127,2.55128,2.97435,3.17133,1.46933,2.30368,1.47546,1.36267,.134395814176337
"SHNDLT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",12745102,11652061,13195131,11803752,11738116,13116940,14024140,13219417,14602527,9557285,11226177,14463297,2.87831,3.07104,2.11575,3.08645,2.3388,2.53399,2.72068,2.32525,2.1673,1.53914,1.78932,2.03234,.732280217969572
"C4HBRT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",31438755,32581503,32503901,32287034,33269043,38435690,43501770,24096693,18765949,15660655,15250167,15900104,7.82955,5.61964,3.80207,6.8202,5.13576,4.35423,2.94395,3.29329,3.12017,2.12544,1.37043,3.05804,2.07789299186466
"CL04BP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1300,1500,700,0,0,0,0,0,0,272,80734,0,.0144637,.0149827,.0113523," "," "," "," "," ",0,.00254176,.926181,0,0
